query,paragraph,label
Does the event eric went to a second yoga class. ends after he do better ?," Eric went to a yoga class. He had never been. He realized then he was not very flexible. ""After the class, people were laughing at him."" He did better his second time.	",no
Does the event david put paint on the brush for the horses start after david hang his horses masterpieces all over the barn ?," David watched an episode on TV about a horse that paints. ""He thought surely his smart horses could do this, too."" ""At the art store, he bought large canvases, brushes, and acrylics."" He taught the horse to hold the brush in his mouth by the handle. David hung his horses masterpieces all over the barn.	",no
Does the event tim was fed in the kitchen. start before he be extra fussy ?, Tim was being fed some baby food. He was extra fussy today. Tim grabbed it and threw it all over the place. It was all too messed up to try and feed him. Tim was given a bottle instead.	,no
Does the event our son is not lactose intolerant start after he be very silly to say the least ?, Our son is silly when it comes to drinking fluids. He only likes to drink milk. Doesn't even like to drink juice! He will also only drink from one type of cup. He is very silly to say the least.	,no
Does the event susie was happy to get her loan start after so she go to loan office ?, Susie wanted to open up a convenience store. But she really needed a loan for that. So she went to loan office. She was not sure she would get it. But she was almost instantly approved.	,yes
Does the event chelsea applied for a corporate job ends before chelsea know she did not want to be waitress the rest of her life ?," Chelsea knew she did not want to be waitress the rest of her life. She went to college at night and worked during the day. ""Two years later, she got her degree and the job she wanted."" ""After six months, she realized the corporate life was not for her."" She is now a manager at the restaurant that she worked at before.	",no
Does the event greg fell down ends after he hurt himself badly ?," Greg is an old man. He stays active by walking. One day he decided to walk by an unfamiliar road. During this walk he tripped over a crack in the road. ""Greg hurt himself badly, but decided not to see a doctor.""	",no
Does the event dan and his wife went through customs in norway start after they have a fantastic time visiting norway ?," Dan wanted to visit Norway. Dan arranged to take time from work for a trip to Norway. Dan and his wife flew to Norway that Summer. They had a fantastic time visiting Norway. ""Now, Dan and his wife visit Norway every Summer, without fail.""	",no
Does the event he bought new parts for a computer. ends before he built one. ?, Tim wanted a new computer. He heard it would be cheaper to build his own. He was afraid to try it out. Eventually Tim found plenty of up to date information online. He built one and it was surprisingly easy.	,yes
Does the event mikey felt embarrassed by his mom. start before other people notice her ?," Mikey was eating out with his family. His mom complained that her meat was undercooked. Mikey tried to stop her, but she began berating the waiter. Other people noticed and scolded her. It became such a mess Mikey decided to leave.	",no
Does the event i lost control of my car ends before it spun ?," I got into my car after work. A coworker challenged me to a race. We were still in the parking lot. ""I gassed it very hard, trying to win."" My car spun and started doing donuts.	",no
Does the event kate bought plane tickets to las vegas ends before kate be leery because she always heard room service was expensive ?, It was the first morning of Kate's trip in Las Vegas. Kate wanted to go to a restaurant for breakfast. But her friends wanted to get room service. Kate was leery because she always heard room service was expensive. But she decided to go along with it just for the experience.	,yes
Does the event nia is alive. ends before but she try to lose weight ?," Nia loved pizza. But she was trying to lose weight. She decided to order a healthy pizza. ""She added lots of veggies, and half the cheese."" Nia's healthy pizza was delicious!	",no
Does the event martha took the bags out of her car start before she bought groceries ?, Martha bought groceries and proceeded to go home. When she carried in her groceries she saw the bag leaking. The carton of eggs were squished. Martha went back to the grocery store. She was able to get another carton of eggs for free.	,no
Does the event tom got a dog start before tom get a new cat ?, Tom got a new cat. Within a week it was lost. Tom looked around a bit for it but didn't find it. Tom decided to get a dog instead. Eventually the cat returned and Tom gave it away.	,no
Does the event i started my first job. ends after thankfully my parents let me stay home until i found a job ?," I graduated college without job prospects. Thankfully, my parents let me stay home until I found a job. Alas, I could not find a job after six months of searching. My parents understood and continued to let me live at their house. I soon found a job and I thanked my parents for their support.	",yes
Does the event evan's mom wanted to help evan go to the sleepover ends after evan was nine but still wet the bed ?, Evan was nine but sometimes still wet the bed. He was invited to a sleepover but afraid to attend. He did not want anyone to discover his secret! Then his mom bought him a pack of absorbent underwear to wear. Evan felt much more secure with the backup underwear on!	,yes
Does the event he opened the dusty diary. ends after hocus pocus find the dusty diary ?, Hocus Pocus found the dusty Diary. Inside were a string of numbers. He thought they were lottery numbers. He bet on them. They were milk production weights for a cow.	,yes
Does the event kim did some search about different mammals. start before she had to do a report on a mammal for her biology class. ?," Kim had to do a report on a mammal for her biology class. She decided to do her report on wombats. ""After reading about wombats, she thought that they were hilarious."" She included a lot of humor in her written report about wombats. Kim's teacher loved the humor in her report about wombats.	",no
Does the event mary owns a car ends before the girl be bored ?," Mary's granddaughter Lucy was in the garden. The girl had been bored for weeks. Lucy had a pet watermelon she painted a face on. Mary watched as the girl placed the watermelon in a car seat. Mary tried not to, but she had to laugh at the absurdity of it.	",no
Does the event ernie stopped to watch the women playing start after he saw the women playing ?," ""One day, Ernie went on a walk in the park."" Ernie walked by the tennis courts and saw two beautiful women playing. ""He had never played tennis before, but he decided to learn."" ""The next day he went to the park, and the ladies were there again."" ""They invited him to join them, and eventually one became his wife.""	",yes
Does the event the stove was used to make breakfast ends after the food was cooked ?, I woke up and I was very hungry. I went to the kitchen to make breakfast. I got eggs and sausage from the fridge. I cooked the food and made toast and poured a glass of milk. I sat down and enjoyed the meal.	,yes
Does the event jenny appreciated her father. start after she n't want to break them up ?, Jenny's dad took her to the pound to pick out a kitten. She found the perfect kitten but there was a problem. Her kitten was in the same cage as a friend. She didn't want to break them up. She was delighted when her dad said they could take both home.	,yes
Does the event anna's brother was sorry start before anna felt a pain in her cheek ?," Ana was playing in the snow with her brother. They were having a snowball fight. Suddenly, Anna felt a pain in her cheek. She saw that the snowball had had a rock in it. Her brother apologized and they quit fighting.	",no
Does the event mary became visibly saddened. start before she accidentally dropped her cone ?, Mary loves to buy ice cream from the Ice Cream Truck. One day Mary bought a snow cone from the truck. She was enjoying her snow cone. Unfortunately Mary accidentally dropped her cone. The driver of the Ice cream Truck was nice and gave Mary another one.	,no
Does the event gina wanted to seem punctual. ends before a man come to the door ?, Gina arrived early for her interview and waited near the door. A man came to the door and looked at her. She smiled and joked with him before opening the door. He introduced himself as the restaurant manager. Gina was worried the joking may have hurt her chances.	,yes
